candidate,architecture,side,variant_id,metric_trades,metric_profit_factor,metric_expectancy_r,metric_return_r,metric_win_rate_pct,metric_max_drawdown_r,p_value,holm_adjusted_p,passes_holm_fwer
VOLATILITY_COMPRESSION_EXPANSION__LONG__expansion_range_atr_min=1.0,VOLATILITY_COMPRESSION_EXPANSION,LONG,expansion_range_atr_min=1.0,166,1.1112721051336865,0.04279388505202806,7.1037849186366575,43.97590361445783,-14.312637036740032,0.2781804548862784,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__expansion_range_atr_min=1.3,VOLATILITY_COMPRESSION_EXPANSION,LONG,expansion_range_atr_min=1.3,145,1.1998718054694166,0.0757576856708386,10.984864422271597,47.58620689655172,-9.399334820341121,0.1519620094976256,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__rel_volume_min=1.0,VOLATILITY_COMPRESSION_EXPANSION,LONG,rel_volume_min=1.0,159,1.1034130968839673,0.04147109443280292,6.5939040148156645,44.0251572327044,-14.550546356772712,0.2896775806048488,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__rel_volume_min=1.25,VOLATILITY_COMPRESSION_EXPANSION,LONG,rel_volume_min=1.25,144,1.220485458671455,0.08101353394014058,11.665948887380242,45.83333333333333,-8.167041323244735,0.13321669582604348,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__reward_risk=2.0,VOLATILITY_COMPRESSION_EXPANSION,LONG,reward_risk=2.0,155,1.075020767275755,0.029356142911987185,4.550202151358014,45.16129032258064,-14.099770844142046,0.34791302174456384,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__LONG__reward_risk=2.4,VOLATILITY_COMPRESSION_EXPANSION,LONG,reward_risk=2.4,155,1.149932221918522,0.05807732250818048,9.001984988767974,45.16129032258064,-13.41330931452173,0.2224443889027743,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__CENTRAL,VOLATILITY_COMPRESSION_EXPANSION,SHORT,CENTRAL,116,1.436736400699479,0.1407322796407853,16.324944438331094,43.96551724137931,-5.519960571932556,0.0379905023744064,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__compression_bars=10,VOLATILITY_COMPRESSION_EXPANSION,SHORT,compression_bars=10,142,1.4098091539666004,0.1335856912123326,18.96916815215123,44.36619718309859,-5.511183923731419,0.03074231442139465,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__compression_bars=14,VOLATILITY_COMPRESSION_EXPANSION,SHORT,compression_bars=14,96,1.392044381588133,0.1345739290567591,12.919097189448875,42.70833333333333,-5.238594652146915,0.06723319170207448,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__expansion_range_atr_min=1.0,VOLATILITY_COMPRESSION_EXPANSION,SHORT,expansion_range_atr_min=1.0,127,1.327897850193899,0.11425907896221883,14.510903028201792,43.30708661417323,-5.519960571932556,0.07473131717070733,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__expansion_range_atr_min=1.3,VOLATILITY_COMPRESSION_EXPANSION,SHORT,expansion_range_atr_min=1.3,105,1.3982568761297007,0.1310653863781021,13.76186556970072,44.761904761904766,-5.519960571932556,0.05498625343664084,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__rel_volume_min=1.0,VOLATILITY_COMPRESSION_EXPANSION,SHORT,rel_volume_min=1.0,120,1.4818319734930578,0.15015957385385684,18.01914886246282,45.0,-4.834360087143185,0.025743564108972758,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__rel_volume_min=1.25,VOLATILITY_COMPRESSION_EXPANSION,SHORT,rel_volume_min=1.25,110,1.5837105769324982,0.1799861493282546,19.798476426108007,46.36363636363636,-4.375028390888663,0.012496875781054736,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__reward_risk=2.0,VOLATILITY_COMPRESSION_EXPANSION,SHORT,reward_risk=2.0,116,1.4403785890801097,0.14173809542104387,16.44161906884109,43.96551724137931,-5.519960571932556,0.03224193951512122,1.0,False
VOLATILITY_COMPRESSION_EXPANSION__SHORT__reward_risk=2.4,VOLATILITY_COMPRESSION_EXPANSION,SHORT,reward_risk=2.4,116,1.420834732182977,0.13556969897885401,15.726085081547067,43.96551724137931,-5.519960571932556,0.03624093976505874,1.0,False
RANGE_EXTREME_REVERSION__LONG__CENTRAL,RANGE_EXTREME_REVERSION,LONG,CENTRAL,118,0.7340925774758996,-0.10384558124220437,-12.253778586580117,44.91525423728814,-13.813999893912428,0.9387653086728318,1.0,False
RANGE_EXTREME_REVERSION__LONG__range_score_abs_max=0.2,RANGE_EXTREME_REVERSION,LONG,range_score_abs_max=0.2,95,0.6716696658407226,-0.13475813646473842,-12.802022964150149,41.05263157894737,-12.98474506202706,0.9755061234691327,1.0,False
RANGE_EXTREME_REVERSION__LONG__range_score_abs_max=0.3,RANGE_EXTREME_REVERSION,LONG,range_score_abs_max=0.3,137,0.7095654306064079,-0.11592639969672458,-15.881916758451268,43.79562043795621,-17.44213806578358,0.9772556860784803,1.0,False
RANGE_EXTREME_REVERSION__LONG__h4_adx_max=20.0,RANGE_EXTREME_REVERSION,LONG,h4_adx_max=20.0,98,0.6236195073349212,-0.15602840004343504,-15.290783204256634,42.857142857142854,-15.290783204256638,0.9892526868282929,1.0,False
RANGE_EXTREME_REVERSION__LONG__h4_adx_max=26.0,RANGE_EXTREME_REVERSION,LONG,h4_adx_max=26.0,131,0.6978838791923205,-0.12239800858098542,-16.03413912410909,45.038167938931295,-17.750680823194166,0.960259935016246,1.0,False
RANGE_EXTREME_REVERSION__LONG__bb_std=2.0,RANGE_EXTREME_REVERSION,LONG,bb_std=2.0,148,1.0572920792367622,0.019169325329147714,2.8370601487138614,54.054054054054056,-9.74857243900687,0.3601599600099975,1.0,False
RANGE_EXTREME_REVERSION__LONG__bb_std=2.4,RANGE_EXTREME_REVERSION,LONG,bb_std=2.4,90,0.6067912702361863,-0.1717514046987469,-15.45762642288722,38.88888888888889,-16.94033116821936,0.9727568107973007,1.0,False
RANGE_EXTREME_REVERSION__LONG__reward_risk=1.15,RANGE_EXTREME_REVERSION,LONG,reward_risk=1.15,118,0.7813079967526487,-0.08486120968024936,-10.013622742269424,47.45762711864407,-11.211880451070703,0.8977755561109723,1.0,False
RANGE_EXTREME_REVERSION__LONG__reward_risk=1.55,RANGE_EXTREME_REVERSION,LONG,reward_risk=1.55,118,0.703932488785375,-0.11621276688362846,-13.713106492268158,44.06779661016949,-14.038634529668109,0.9635091227193202,1.0,False
RANGE_EXTREME_REVERSION__SHORT__CENTRAL,RANGE_EXTREME_REVERSION,SHORT,CENTRAL,85,0.64911905767996,-0.1525560030775071,-12.967260261588104,40.0,-12.967260261588102,0.939515121219695,1.0,False
RANGE_EXTREME_REVERSION__SHORT__range_score_abs_max=0.2,RANGE_EXTREME_REVERSION,SHORT,range_score_abs_max=0.2,71,0.7663653331717859,-0.09477518315306119,-6.729038003867345,42.25352112676056,-7.580557152615782,0.8160459885028742,1.0,False
RANGE_EXTREME_REVERSION__SHORT__range_score_abs_max=0.3,RANGE_EXTREME_REVERSION,SHORT,range_score_abs_max=0.3,106,0.6805491380238298,-0.13106483311043537,-13.892872309706151,39.62264150943396,-14.798890809657413,0.9467633091727068,1.0,False
RANGE_EXTREME_REVERSION__SHORT__h4_adx_max=20.0,RANGE_EXTREME_REVERSION,SHORT,h4_adx_max=20.0,74,0.7347734785620739,-0.11019131308931616,-8.154157168609396,43.24324324324324,-8.154157168609396,0.8480379905023744,1.0,False
RANGE_EXTREME_REVERSION__SHORT__h4_adx_max=26.0,RANGE_EXTREME_REVERSION,SHORT,h4_adx_max=26.0,95,0.672330464189931,-0.13880849120745561,-13.186806664708284,38.94736842105263,-13.186806664708286,0.9440139965008748,1.0,False
RANGE_EXTREME_REVERSION__SHORT__bb_std=2.0,RANGE_EXTREME_REVERSION,SHORT,bb_std=2.0,127,0.6759148563635029,-0.1436500071834286,-18.243550912295433,42.51968503937008,-21.728410379846114,0.9927518120469883,1.0,False
RANGE_EXTREME_REVERSION__SHORT__bb_std=2.4,RANGE_EXTREME_REVERSION,SHORT,bb_std=2.4,53,0.5324452910686575,-0.2229327179412758,-11.815434050887617,35.84905660377358,-12.002935171627326,0.9715071232191952,1.0,False
RANGE_EXTREME_REVERSION__SHORT__reward_risk=1.15,RANGE_EXTREME_REVERSION,SHORT,reward_risk=1.15,85,0.6243299007607097,-0.1633497212927722,-13.884726309885638,40.0,-13.884726309885638,0.9567608097975506,1.0,False
RANGE_EXTREME_REVERSION__SHORT__reward_risk=1.55,RANGE_EXTREME_REVERSION,SHORT,reward_risk=1.55,85,0.6319772402481235,-0.16006837661764442,-13.605812012499776,40.0,-13.612801146583504,0.9560109972506873,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__CENTRAL,DIRECTIONAL_RANGE_EXPANSION,LONG,CENTRAL,179,0.9955222778822368,-0.0011083693413014096,-0.19839811209295233,44.6927374301676,-14.293527085450785,0.5126218445388653,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__regime_threshold=0.1,DIRECTIONAL_RANGE_EXPANSION,LONG,regime_threshold=0.1,183,0.9833454010987799,-0.006000131234232236,-1.0980240158644992,44.80874316939891,-14.552607491608192,0.5516120969757561,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__regime_threshold=0.2,DIRECTIONAL_RANGE_EXPANSION,LONG,regime_threshold=0.2,173,1.0471242624587707,0.01934476827269316,3.346644911175917,45.664739884393065,-12.988348435667781,0.37190702324418895,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__channel_bars=8,DIRECTIONAL_RANGE_EXPANSION,LONG,channel_bars=8,213,0.9418124765608362,-0.023776589990859957,-5.064413668053171,44.60093896713615,-13.869383874399254,0.6830792301924519,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__channel_bars=20,DIRECTIONAL_RANGE_EXPANSION,LONG,channel_bars=20,84,0.9180147487868892,-0.03259858525745885,-2.7382811616265434,44.047619047619044,-7.79950477422749,0.672831792051987,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__range_atr_min=1.05,DIRECTIONAL_RANGE_EXPANSION,LONG,range_atr_min=1.05,186,0.9827328773057954,-0.006196942553253038,-1.152631314905065,43.54838709677419,-15.027793699660013,0.5496125968507873,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__range_atr_min=1.35,DIRECTIONAL_RANGE_EXPANSION,LONG,range_atr_min=1.35,161,0.9966165568480045,-0.0006750142522277863,-0.10867729460867359,45.962732919254655,-10.306418211461091,0.5048737815546114,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__reward_risk=1.8,DIRECTIONAL_RANGE_EXPANSION,LONG,reward_risk=1.8,179,0.9618282074436417,-0.014737445364589492,-2.638002720261519,44.6927374301676,-14.331207961297345,0.6150962259435141,1.0,False
DIRECTIONAL_RANGE_EXPANSION__LONG__reward_risk=2.2,DIRECTIONAL_RANGE_EXPANSION,LONG,reward_risk=2.2,179,1.0509295362396887,0.021301848841604763,3.8130309426472526,44.6927374301676,-12.777703710737075,0.348162959260185,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__CENTRAL,DIRECTIONAL_RANGE_EXPANSION,SHORT,CENTRAL,145,1.4218034216538864,0.14540524841156788,21.083761019677343,46.89655172413793,-5.055211565716432,0.023494126468382906,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__regime_threshold=0.1,DIRECTIONAL_RANGE_EXPANSION,SHORT,regime_threshold=0.1,151,1.4311341971442315,0.14597197290866126,22.04176790920785,47.682119205298015,-5.055211565716432,0.025243689077730568,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__regime_threshold=0.2,DIRECTIONAL_RANGE_EXPANSION,SHORT,regime_threshold=0.2,141,1.4299477034591832,0.14730446418787738,20.76992945049071,46.808510638297875,-5.055211565716431,0.02649337665583604,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__channel_bars=8,DIRECTIONAL_RANGE_EXPANSION,SHORT,channel_bars=8,199,1.1182075810200522,0.04692666466236012,9.338406267809663,43.71859296482412,-8.757946734570263,0.23944013996500874,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__channel_bars=20,DIRECTIONAL_RANGE_EXPANSION,SHORT,channel_bars=20,49,1.3167191681854848,0.1117051565256445,5.473552669756581,38.775510204081634,-3.673792699984267,0.18145463634091477,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__range_atr_min=1.05,DIRECTIONAL_RANGE_EXPANSION,SHORT,range_atr_min=1.05,159,1.2845949757874264,0.10630316966723057,16.90220397708966,45.28301886792453,-5.5319348088368825,0.050487378155461136,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__range_atr_min=1.35,DIRECTIONAL_RANGE_EXPANSION,SHORT,range_atr_min=1.35,126,1.5761691721405335,0.18555204102589803,23.37955716926315,49.2063492063492,-5.018318624679964,0.0047488127968008,0.5128717820544864,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__reward_risk=1.8,DIRECTIONAL_RANGE_EXPANSION,SHORT,reward_risk=1.8,145,1.4575659991620513,0.15344837175554374,22.250013904553843,48.275862068965516,-5.067578314329328,0.028742814296425893,1.0,False
DIRECTIONAL_RANGE_EXPANSION__SHORT__reward_risk=2.2,DIRECTIONAL_RANGE_EXPANSION,SHORT,reward_risk=2.2,145,1.4256087589127493,0.14993129515936146,21.740037798107412,46.206896551724135,-5.055211565716432,0.0284928767808048,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__CENTRAL,BREAKOUT_RETEST_CONTINUATION,LONG,CENTRAL,139,0.8380533673850153,-0.06749285284566099,-9.381506545546877,35.97122302158273,-22.2043219979968,0.7918020494876281,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__channel_bars=8,BREAKOUT_RETEST_CONTINUATION,LONG,channel_bars=8,184,0.9504644259138915,-0.020196763746050783,-3.716204529273344,38.58695652173913,-21.036749381260844,0.6075981004748813,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__channel_bars=20,BREAKOUT_RETEST_CONTINUATION,LONG,channel_bars=20,104,0.9806012783503036,-0.007028391240787464,-0.7309526890418963,39.42307692307692,-15.044099271087731,0.5203699075231192,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__retest_bars=2,BREAKOUT_RETEST_CONTINUATION,LONG,retest_bars=2,92,0.9334453405331559,-0.02543884215125829,-2.3403734779157626,38.04347826086957,-18.40228782551067,0.5888527868032992,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__retest_bars=6,BREAKOUT_RETEST_CONTINUATION,LONG,retest_bars=6,170,0.7894954992847432,-0.08953342163745151,-15.220681678366756,33.52941176470588,-27.627616725906634,0.8955261184703824,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__retest_tolerance_atr=0.15,BREAKOUT_RETEST_CONTINUATION,LONG,retest_tolerance_atr=0.15,131,0.919434195637304,-0.031912166531518606,-4.180493815628937,37.404580152671755,-18.676711739709482,0.6335916020994752,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__retest_tolerance_atr=0.4,BREAKOUT_RETEST_CONTINUATION,LONG,retest_tolerance_atr=0.4,148,0.8716750363940372,-0.052111229696366945,-7.712461995062308,35.810810810810814,-23.805696527108672,0.7523119220194951,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__reward_risk=1.8,BREAKOUT_RETEST_CONTINUATION,LONG,reward_risk=1.8,139,0.82668736378599,-0.07229516247572906,-10.049027584126339,35.97122302158273,-22.688141468785794,0.8127968007998001,1.0,False
BREAKOUT_RETEST_CONTINUATION__LONG__reward_risk=2.2,BREAKOUT_RETEST_CONTINUATION,LONG,reward_risk=2.2,139,0.8415824945339707,-0.06601732906847073,-9.17640874051743,35.97122302158273,-22.193085653923404,0.7853036740814796,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__CENTRAL,BREAKOUT_RETEST_CONTINUATION,SHORT,CENTRAL,139,0.9774023118810516,-0.00808000508592445,-1.1231207069434985,38.1294964028777,-10.321439802361153,0.5561109722569357,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__channel_bars=8,BREAKOUT_RETEST_CONTINUATION,SHORT,channel_bars=8,192,1.0545959896394161,0.02125643891753955,4.081236272167594,40.10416666666667,-12.463196883972136,0.34866283429142714,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__channel_bars=20,BREAKOUT_RETEST_CONTINUATION,SHORT,channel_bars=20,89,0.8857952663947586,-0.04578420804750872,-4.074794516228276,33.70786516853933,-12.1571021305488,0.6995751062234441,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__retest_bars=2,BREAKOUT_RETEST_CONTINUATION,SHORT,retest_bars=2,92,1.1944713754256586,0.06527682299826294,6.005467715840191,42.391304347826086,-5.92261997608335,0.19995001249687577,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__retest_bars=6,BREAKOUT_RETEST_CONTINUATION,SHORT,retest_bars=6,177,0.9531613885820069,-0.01789728020933702,-3.1678185970526527,36.72316384180791,-10.542055260001032,0.6198450387403149,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__retest_tolerance_atr=0.15,BREAKOUT_RETEST_CONTINUATION,SHORT,retest_tolerance_atr=0.15,126,0.9734535938799788,-0.00951632046181851,-1.1990563781891324,38.095238095238095,-8.737843897199355,0.5536115971007248,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__retest_tolerance_atr=0.4,BREAKOUT_RETEST_CONTINUATION,SHORT,retest_tolerance_atr=0.4,146,0.9872744921605093,-0.004087727534078769,-0.5968082199755003,37.67123287671233,-9.157318885917846,0.5393651587103224,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__reward_risk=1.8,BREAKOUT_RETEST_CONTINUATION,SHORT,reward_risk=1.8,139,0.9836140033167765,-0.005695457743709531,-0.7916686263756247,38.1294964028777,-9.484380838291106,0.5431142214446388,1.0,False
BREAKOUT_RETEST_CONTINUATION__SHORT__reward_risk=2.2,BREAKOUT_RETEST_CONTINUATION,SHORT,reward_risk=2.2,139,0.9933756187603702,-0.0018822914425417115,-0.2616385105132979,38.1294964028777,-10.517696277289794,0.5103724068982755,1.0,False
CHANDELIER_TIME_SERIES_MOMENTUM__LONG__CENTRAL,CHANDELIER_TIME_SERIES_MOMENTUM,LONG,CENTRAL,233,1.0710759732865196,0.029635973553502504,6.905181837966083,49.35622317596567,-20.083890631353203,0.3286678330417396,1.0,False
CHANDELIER_TIME_SERIES_MOMENTUM__LONG__regime_threshold=0.1,CHANDELIER_TIME_SERIES_MOMENTUM,LONG,regime_threshold=0.1,242,1.0494994583551096,0.021063243808027328,5.097305001542614,48.760330578512395,-19.379183552837645,0.3686578355411147,1.0,False
CHANDELIER_TIME_SERIES_MOMENTUM__LONG__regime_threshold=0.3,CHANDELIER_TIME_SERIES_MOMENTUM,LONG,regime_threshold=0.3,224,1.0733134957680952,0.03037568828491816,6.804154175821668,49.107142857142854,-19.67370881295963,0.3284178955261185,1.0,False
CHANDELIER_TIME_SERIES_MOMENTUM__LONG__channel_bars=6,CHANDELIER_TIME_SERIES_MOMENTUM,LONG,channel_bars=6,282,1.180897728868577,0.07219153260068266,20.35801219339251,50.35460992907801,-17.961627795372927,0.0997250687328168,1.0,False
