signal_time,entry_time,exit_time,r_net,market_regime,vol_regime
2021-01-10 01:00:00+00:00,2021-01-10 02:00:00+00:00,2021-01-10 11:00:00+00:00,-1.0,BULL,HIGH
2021-01-16 08:00:00+00:00,2021-01-16 09:00:00+00:00,2021-01-16 19:00:00+00:00,0.40184349505875305,BULL,HIGH
2021-01-17 21:00:00+00:00,2021-01-17 22:00:00+00:00,2021-01-18 02:00:00+00:00,-0.43755928380898973,BULL,HIGH
2021-01-18 12:00:00+00:00,2021-01-18 13:00:00+00:00,2021-01-18 17:00:00+00:00,-0.3743552187127102,BULL,HIGH
2021-01-18 23:00:00+00:00,2021-01-19 00:00:00+00:00,2021-01-19 01:00:00+00:00,1.13763949638518,BULL,HIGH
2021-01-19 07:00:00+00:00,2021-01-19 08:00:00+00:00,2021-01-19 15:00:00+00:00,0.4019566597122907,BULL,HIGH
2021-01-20 23:00:00+00:00,2021-01-21 00:00:00+00:00,2021-01-21 04:00:00+00:00,-0.7067777457794349,BULL,HIGH
2021-01-24 17:00:00+00:00,2021-01-24 18:00:00+00:00,2021-01-24 22:00:00+00:00,-0.11883469063174724,BULL,HIGH
2021-01-24 22:00:00+00:00,2021-01-24 23:00:00+00:00,2021-01-25 00:00:00+00:00,1.1546854666039252,BULL,HIGH
2021-02-02 16:00:00+00:00,2021-02-02 17:00:00+00:00,2021-02-03 04:00:00+00:00,0.49121141597620166,BULL,HIGH
2021-02-03 15:00:00+00:00,2021-02-03 16:00:00+00:00,2021-02-04 01:00:00+00:00,0.9383589193391069,BULL,HIGH
2021-02-04 01:00:00+00:00,2021-02-04 02:00:00+00:00,2021-02-04 06:00:00+00:00,-0.6084783042097319,BULL,HIGH
2021-02-09 08:00:00+00:00,2021-02-09 09:00:00+00:00,2021-02-09 10:00:00+00:00,-1.0,BULL,HIGH
2021-02-11 10:00:00+00:00,2021-02-11 11:00:00+00:00,2021-02-11 22:00:00+00:00,-0.32323438907178487,BULL,HIGH
2021-02-12 13:00:00+00:00,2021-02-12 14:00:00+00:00,2021-02-12 18:00:00+00:00,0.9618300493125723,BULL,MID
2021-02-18 10:00:00+00:00,2021-02-18 11:00:00+00:00,2021-02-18 15:00:00+00:00,0.012087029126243995,BULL,MID
2021-02-20 02:00:00+00:00,2021-02-20 03:00:00+00:00,2021-02-20 07:00:00+00:00,0.38473203489460184,BULL,MID
2021-03-08 19:00:00+00:00,2021-03-08 20:00:00+00:00,2021-03-08 23:00:00+00:00,1.1342410700620584,BULL,HIGH
2021-03-08 23:00:00+00:00,2021-03-09 00:00:00+00:00,2021-03-09 11:00:00+00:00,-0.11564244706165103,BULL,HIGH
2021-03-11 21:00:00+00:00,2021-03-11 22:00:00+00:00,2021-03-12 02:00:00+00:00,-0.5405796949714408,BULL,HIGH
2021-03-20 11:00:00+00:00,2021-03-20 12:00:00+00:00,2021-03-20 16:00:00+00:00,0.3425306250976603,BULL,MID
2021-03-30 09:00:00+00:00,2021-03-30 10:00:00+00:00,2021-03-31 05:00:00+00:00,-0.22850207890253252,BULL,MID
2021-04-01 18:00:00+00:00,2021-04-01 19:00:00+00:00,2021-04-02 14:00:00+00:00,0.969290338015745,BULL,MID
2021-04-06 00:00:00+00:00,2021-04-06 01:00:00+00:00,2021-04-06 05:00:00+00:00,-0.3957389853255098,BULL,MID
2021-04-10 01:00:00+00:00,2021-04-10 02:00:00+00:00,2021-04-10 03:00:00+00:00,1.2009248223029323,BULL,MID
2021-04-14 21:00:00+00:00,2021-04-14 22:00:00+00:00,2021-04-15 09:00:00+00:00,0.060999527436917035,BULL,HIGH
2021-04-15 20:00:00+00:00,2021-04-15 21:00:00+00:00,2021-04-16 04:00:00+00:00,-1.0,BULL,MID
2021-04-22 05:00:00+00:00,2021-04-22 06:00:00+00:00,2021-04-22 10:00:00+00:00,0.08205810483976153,BULL,HIGH
2021-04-22 10:00:00+00:00,2021-04-22 11:00:00+00:00,2021-04-22 16:00:00+00:00,0.9298652717750604,BULL,HIGH
2021-04-27 06:00:00+00:00,2021-04-27 07:00:00+00:00,2021-04-27 11:00:00+00:00,-0.2210994747037893,BULL,HIGH
2021-04-27 11:00:00+00:00,2021-04-27 12:00:00+00:00,2021-04-28 00:00:00+00:00,0.9760447125948605,BULL,MID
2021-04-28 00:00:00+00:00,2021-04-28 01:00:00+00:00,2021-04-28 05:00:00+00:00,-0.7069495216251573,BULL,MID
2021-04-28 21:00:00+00:00,2021-04-28 22:00:00+00:00,2021-04-29 02:00:00+00:00,-0.39336867750009785,BULL,HIGH
2021-05-01 01:00:00+00:00,2021-05-01 02:00:00+00:00,2021-05-01 09:00:00+00:00,0.3747361067032134,BULL,MID
2021-05-01 12:00:00+00:00,2021-05-01 13:00:00+00:00,2021-05-01 20:00:00+00:00,0.945382417161603,BULL,MID
2021-05-02 18:00:00+00:00,2021-05-02 19:00:00+00:00,2021-05-03 05:00:00+00:00,0.9537201202860496,BULL,MID
2021-05-07 15:00:00+00:00,2021-05-07 16:00:00+00:00,2021-05-07 21:00:00+00:00,-0.4724178574940823,BULL,HIGH
2021-05-08 04:00:00+00:00,2021-05-08 05:00:00+00:00,2021-05-08 12:00:00+00:00,-0.1831146758911319,BULL,MID
2021-05-08 21:00:00+00:00,2021-05-08 22:00:00+00:00,2021-05-09 09:00:00+00:00,0.16077093628828346,BULL,HIGH
2021-05-12 02:00:00+00:00,2021-05-12 03:00:00+00:00,2021-05-12 14:00:00+00:00,0.22925439795369276,BULL,HIGH
2021-05-14 15:00:00+00:00,2021-05-14 16:00:00+00:00,2021-05-14 21:00:00+00:00,-0.8029330681590005,BULL,HIGH
2021-06-02 07:00:00+00:00,2021-06-02 08:00:00+00:00,2021-06-02 15:00:00+00:00,0.9208754462590973,BULL,HIGH
2021-06-02 15:00:00+00:00,2021-06-02 16:00:00+00:00,2021-06-02 20:00:00+00:00,-0.3083687843906056,BULL,HIGH
2021-06-03 09:00:00+00:00,2021-06-03 10:00:00+00:00,2021-06-03 12:00:00+00:00,-0.9999999999999998,BULL,HIGH
2021-06-15 04:00:00+00:00,2021-06-15 05:00:00+00:00,2021-06-15 09:00:00+00:00,-0.5313457983839169,BULL,MID
2021-06-29 06:00:00+00:00,2021-06-29 07:00:00+00:00,2021-06-29 18:00:00+00:00,0.8006184032843562,BULL,HIGH
2021-07-07 04:00:00+00:00,2021-07-07 05:00:00+00:00,2021-07-07 16:00:00+00:00,-0.5493191185835113,BULL,HIGH
